"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "CSS", "XML", "Vue", "HTML", "comment", "blank", "total"
"d:\Desktop\WorkSpace4Vue\trae-demo1\README.md", "Markdown", 0, 0, 0, 73, 0, 0, 0, 0, 0, 28, 101
"d:\Desktop\WorkSpace4Vue\trae-demo1\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"d:\Desktop\WorkSpace4Vue\trae-demo1\package-lock.json", "JSON", 0, 0, 3090, 0, 0, 0, 0, 0, 0, 1, 3091
"d:\Desktop\WorkSpace4Vue\trae-demo1\package.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"d:\Desktop\WorkSpace4Vue\trae-demo1\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 31, 0, 2, 5, 38
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\api\auth.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 4, 4, 35
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\api\instance.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 10, 9, 84
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\api\parkingLot.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 5, 7, 58
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\api\parkingRecord.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 6, 8, 70
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\api\parkingSpot.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 5, 7, 61
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\api\parkingZone.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 5, 7, 58
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\api\user.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 5, 7, 57
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\api\vehicle.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 5, 7, 59
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\constants\index.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 12, 11, 105
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\hooks\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\hooks\useAuth.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 0, 10, 17, 122
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\hooks\useFormValidation.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 7, 10, 50
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\hooks\usePagination.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 9, 9, 63
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\hooks\useSpotMonitor.ts", "TypeScript", 0, 202, 0, 0, 0, 0, 0, 0, 18, 33, 253
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\hooks\useStatistics.ts", "TypeScript", 0, 186, 0, 0, 0, 0, 0, 0, 19, 36, 241
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\layouts\MainLayout.vue", "Vue", 0, 0, 0, 0, 0, 0, 273, 0, 10, 41, 324
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\main.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 5, 18
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\router\index.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 0, 20, 14, 156
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\shims-vue.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\style.css", "CSS", 0, 0, 0, 0, 269, 0, 0, 0, 20, 59, 348
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\types\index.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 12, 11, 126
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\utils\auth.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 0, 18, 15, 111
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\Auth.vue", "Vue", 0, 0, 0, 0, 0, 0, 535, 0, 17, 77, 629
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\Dashboard.vue", "Vue", 0, 0, 0, 0, 0, 0, 427, 0, 10, 73, 510
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\NotFound.vue", "Vue", 0, 0, 0, 0, 0, 0, 60, 0, 0, 10, 70
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\parking\ParkingLots.vue", "Vue", 0, 0, 0, 0, 0, 0, 234, 0, 18, 27, 279
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\parking\ParkingRecords.vue", "Vue", 0, 0, 0, 0, 0, 0, 398, 0, 28, 40, 466
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\parking\ParkingSpaces.vue", "Vue", 0, 0, 0, 0, 0, 0, 212, 0, 1, 18, 231
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\parking\ParkingSpots.vue", "Vue", 0, 0, 0, 0, 0, 0, 355, 0, 26, 35, 416
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\parking\ParkingZones.vue", "Vue", 0, 0, 0, 0, 0, 0, 275, 0, 21, 30, 326
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\parking\SpotMonitor.vue", "Vue", 0, 0, 0, 0, 0, 0, 557, 0, 23, 79, 659
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\statistics\DataAnalysis.vue", "Vue", 0, 0, 0, 0, 0, 0, 450, 0, 6, 51, 507
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\user\Users.vue", "Vue", 0, 0, 0, 0, 0, 0, 220, 0, 18, 27, 265
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\views\vehicle\Vehicles.vue", "Vue", 0, 0, 0, 0, 0, 0, 277, 0, 21, 30, 328
"d:\Desktop\WorkSpace4Vue\trae-demo1\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Desktop\WorkSpace4Vue\trae-demo1\tsconfig.app.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"d:\Desktop\WorkSpace4Vue\trae-demo1\tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Desktop\WorkSpace4Vue\trae-demo1\tsconfig.node.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 2, 3, 25
"d:\Desktop\WorkSpace4Vue\trae-demo1\vite.config.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 2, 26
"Total", "-", 7, 1371, 3154, 73, 269, 2, 4304, 21, 398, 859, 10458
